x-axis,1,2
second,Volt,Volt
-2.500000E-03,-324.042082E-03,-47.660175E-03
-2.497500E-03,-357.609927E-03,-100.926514E-03
-2.495000E-03,-386.152646E-03,-159.318490E-03
-2.492500E-03,-417.207929E-03,-211.278292E-03
-2.490000E-03,-448.263211E-03,-263.439117E-03
-2.487500E-03,-478.313453E-03,-319.016995E-03
-2.485000E-03,-507.961724E-03,-375.197944E-03
-2.482500E-03,-543.640124E-03,-434.092440E-03
-2.480000E-03,-568.866225E-03,-486.755747E-03
-2.477500E-03,-600.725524E-03,-539.921574E-03
-2.475000E-03,-632.584823E-03,-593.891418E-03
-2.472500E-03,-658.112498E-03,-649.971778E-03
-2.470000E-03,-686.856241E-03,-697.710586E-03
-2.467500E-03,-722.735625E-03,-757.308549E-03
-2.465000E-03,-750.675351E-03,-803.439170E-03
-2.462500E-03,-782.333627E-03,-859.218071E-03
-2.460000E-03,-808.062325E-03,-910.474483E-03
-2.457500E-03,-837.308434E-03,-966.856224E-03
-2.455000E-03,-868.263321E-03,-1.014896568E+00
-2.452500E-03,-896.705451E-03,-1.069770864E+00
-2.450000E-03,-922.032025E-03,-1.116504478E+00
-2.447500E-03,-950.373798E-03,-1.173087396E+00
-2.445000E-03,-975.801039E-03,-1.224343886E+00
-2.442500E-03,-1.009971723E+00,-1.275398927E+00
-2.440000E-03,-1.029971945E+00,-1.322233322E+00
-2.437500E-03,-1.060222979E+00,-1.376806006E+00
-2.435000E-03,-1.086655260E+00,-1.420424140E+00
-2.432500E-03,-1.112986797E+00,-1.473187882E+00
-2.430000E-03,-1.138313603E+00,-1.520424324E+00
-2.427500E-03,-1.169871174E+00,-1.576906345E+00
-2.425000E-03,-1.192886479E+00,-1.618012380E+00
-2.422500E-03,-1.225851022E+00,-1.678313424E+00
-2.420000E-03,-1.240223125E+00,-1.717007138E+00
-2.417500E-03,-1.272383882E+00,-1.765951818E+00
-2.415000E-03,-1.288062330E+00,-1.807358964E+00
-2.412500E-03,-1.316001708E+00,-1.858212866E+00
-2.410000E-03,-1.337107676E+00,-1.908665570E+00
-2.407500E-03,-1.364444138E+00,-1.952584892E+00
-2.405000E-03,-1.388363972E+00,-1.998313890E+00
-2.402500E-03,-1.411981769E+00,-2.048966807E+00
-2.400000E-03,-1.429570017E+00,-2.085348904E+00
-2.397500E-03,-1.456403689E+00,-2.138112414E+00
-2.395000E-03,-1.473992207E+00,-2.173490012E+00
-2.392500E-03,-1.499318319E+00,-2.222936401E+00
-2.390000E-03,-1.519620230E+00,-2.260725818E+00
